id,name3,host_id,host_name,neighbourhood_group,neighbourhood,latitude3,longitude3,room_type3,low_price,minimum_nights3,number_of_reviews3,reviews_per_month,calculated_host_listings_count,availability_365
20952986,Private room in Melbourne Bundoora,94564454,Rayan,,Banyule,-37.69633666,145.061047,Private room,19,7,1,0.07,3,0
21069325,Backyard private bungalow,48109919,Lucky And Vish,,Banyule,-37.74108574,145.0524654,Entire home/apt,25,1,27,1.84,2,0
21031463,Cosy private room with double bed.,48109919,Lucky And Vish,,Banyule,-37.73967006,145.0540196,Private room,25,2,21,1.47,2,0
13240832,A cozy and quiet place.,72191437,Kiyomi,,Banyule,-37.74292965,145.0516818,Private room,28,1,1,0.03,1,0
214565,Warm and inviting cottage in the North East,1107678,Helen,,Banyule,-37.71369993,145.1238011,Private room,30,1,0,,1,0
28985273,Nice bright and clean,172761989,Stacey,,Banyule,-37.70096654,145.0700023,Private room,30,1,10,5.08,2,357
19171839,Beautiful two bedroom house,72957111,Hanieh,,Banyule,-37.73548826,145.0487901,Private room,30,2,2,2,2,12
7152295,"F- Austin Hosp, LaTrobe Uni, 1hr by bus to CBD.",28611521,Francis,,Banyule,-37.7397648,145.0461722,Private room,30,7,3,0.21,2,250
14718187,Large Room for rent with Amenities,91596250,Martina,,Banyule,-37.73510489,145.0590096,Private room,30,30,6,0.24,1,127
5516578,"D - Austin Hosp, LaTrobe Uni, 1hr by bus to CBD.",28611521,Francis,,Banyule,-37.73982933,145.0470639,Private room,32,4,24,0.56,2,250
8394057,"Nice, quiet location close to beach",44229140,Josef,,Bayside,-37.94640231,145.0287962,Private room,25,1,1,0.03,1,0
20015703,Private Bedroom +  Bathroom,31620872,Carla,,Bayside,-37.94656312,145.0207304,Private room,36,13,1,0.07,2,0
5687337,Double Bedroom in Highett,29489600,Madison,,Bayside,-37.95139942,145.0413501,Private room,40,1,0,,1,0
16298257,Cozy master room,106630739,Sanket,,Bayside,-37.89719143,145.003601,Private room,40,1,30,1.24,1,340
20751629,Home Away From Home! Single Private Ensuite.,8743186,Janis,,Bayside,-37.95227829,145.0390315,Private room,42,2,62,4.5,1,156
65432,Garden Views,277353,Loretta,,Bayside,-37.9297903,145.0254793,Private room,43,2,42,0.44,3,337
10272580,Beach Side Retreat,40531568,Dominic,,Bayside,-37.95698921,145.0422944,Private room,46,1,0,,1,0
18076964,Private Room and Bathroom in Hampton East,45335231,Andrina,,Bayside,-37.9386997,145.0251662,Private room,46,1,20,0.99,1,333
58055,By the park,277353,Loretta,,Bayside,-37.92959204,145.0256775,Private room,46,2,18,0.19,3,278
17481261,Single bed in the hottest part of Brighton,80389079,Jeff,,Bayside,-37.89574895,144.9995,Private room,46,2,38,1.8,1,108
6855196,Room in Camberwell Available,35925193,Hannah,,Boroondara,-37.84612522,145.070894,Private room,12,1,0,,1,0
18550926,Modern Artists Retreat. 25 minutes from the city.,4213897,Daniel,,Boroondara,-37.82635258,145.095163,Entire home/apt,12,2,26,1.36,1,13
4515410,Easy Self Check-In | TWIN,11111637,Wei & Ting,,Boroondara,-37.80962699,145.0992157,Private room,14,1,210,4.27,3,80
6786688,Easy Self Check-In | DOUBLE,11111637,Wei & Ting,,Boroondara,-37.8090584,145.0979125,Private room,14,1,236,5.57,3,65
9263414,Easy Self Check-In | ENSUITE,11111637,Wei & Ting,,Boroondara,-37.80843534,145.0991003,Private room,14,1,225,6.36,3,72
7060419,"Room for two people, easy transport",37024203,Manoj,,Boroondara,-37.84672755,145.0950478,Private room,19,1,0,,1,0
26319040,One of the best communities in Melbourne NO.1,138180430,Jason,,Boroondara,-37.81211846,145.0917724,Private room,19,2,0,,5,173
20560827,Room for rent at beautiful sharehouse :),146845800,Matt,,Boroondara,-37.8527337,145.0647393,Private room,25,5,2,0.13,1,0
16139639,Room in Hawthorn for 1 person,105303021,Harshad,,Boroondara,-37.82091908,145.0377744,Shared room,25,7,0,,1,0
12311052,2 month home stay in Surrey Hills,66395083,Penny,,Boroondara,-37.82823334,145.0882006,Private room,29,1,0,,1,0
16405287,A clean room for short stay,44617840,Simon,,Brimbank,-37.79090757,144.8419624,Private room,28,1,24,1.03,5,350
20276328,15 minutes to airport and 30 minutes to CBD,138872243,Serif,,Brimbank,-37.73759226,144.8059593,Private room,28,3,15,1.37,2,242
8583407,The room for traveller in the West,44617840,Simon,,Brimbank,-37.79029417,144.8420761,Private room,30,1,40,1.36,5,336
12524423,"WALKING,STATION 12MIN,30MIN TO CITY",67845964,Stan,,Brimbank,-37.74114765,144.8084643,Private room,30,1,0,,1,0
13735598,Cosy Room with own bath room.,24023612,Leonard,,Brimbank,-37.77836201,144.8226413,Private room,30,1,17,0.62,1,0
13932998,A nice room in western suburb,44617840,Simon,,Brimbank,-37.7905651,144.8420351,Private room,30,1,31,1.1,5,357
16147057,Room to share in a furnished House,49986556,ThiLee,,Brimbank,-37.72526704,144.7793973,Private room,30,1,27,1.27,1,90
19851795,Warm room in the West,44617840,Simon,,Brimbank,-37.789239,144.8403239,Private room,30,1,8,0.48,5,365
7017645,Cheap home close train station,36785676,Penny,,Brimbank,-37.78949475,144.8234376,Private room,35,1,0,,1,0
29326982,Queen-size Private Bedroom near Melb Airport,201805004,Landon,,Brimbank,-37.76530758,144.8255602,Private room,35,1,8,4.71,4,362
17161684,Cosy single room for two!,115438902,Charles / Patricia,,Cardinia,-38.08419719,145.4760349,Private room,30,1,6,0.28,1,0
10534169,"Peaceful, Relaxing, Quite & Private",17280888,Sam,,Cardinia,-38.07671633,145.4294177,Private room,48,1,8,0.24,2,365
17333284,"Central Beaconsfield, separate private space.",116916951,Gillian,,Cardinia,-38.05099045,145.3761713,Private room,58,1,72,3.43,1,36
18828399,"Cozy queen size bedroom, close to train and shops",131111889,Jesvin,,Cardinia,-38.07063794,145.4489466,Private room,60,2,2,0.39,2,309
18828490,"Room close to train station,  lake & shops",131111889,Jesvin,,Cardinia,-38.07156261,145.4484451,Private room,60,2,10,1.07,2,309
10475404,Lake Getaway & Home away Home!!,17280888,Sam,,Cardinia,-38.07525377,145.4325248,Private room,61,1,11,0.32,2,365
6178248,Beautiful home with a view :),31058644,Trev & Shanna,,Cardinia,-38.05632773,145.5125572,Private room,65,1,39,0.94,1,0
16520511,home close to park and bus stop and train.,108625927,Ann,,Cardinia,-38.07883285,145.4694537,Private room,65,1,15,0.71,1,65
16302573,The Gembrook Guest House,106665348,Linden,,Cardinia,-37.9544719,145.5534699,Private room,66,1,12,0.5,1,0
11199015,New home with everything you need - Room 1 of 2,58311905,Heidi,,Cardinia,-38.05886887,145.437777,Private room,68,1,25,1.08,2,325
4570052,Cranbourne - fully self contained Studio Apartment,8291258,Trevor,,Casey,-38.09073706,145.2543834,Entire home/apt,18,1,18,3.18,1,136
18350904,Heart of Endeavour hills,46704750,Xiaobo,,Casey,-37.96859911,145.2679473,Private room,29,1,12,2.35,1,63
18935444,"Cosy, Peaceful Private Retreat",131602638,Sulali & Denver,,Casey,-38.06622935,145.259728,Private room,30,1,18,0.97,2,189
20001725,Two Single room rent,112291471,Junjun,,Casey,-37.98893236,145.2639089,Private room,35,3,1,0.07,1,365
15670519,"Bright room in beautiful Timbarra, Berwick",81832767,Trish,,Casey,-38.01792865,145.3253431,Private room,40,1,2,0.37,1,66
16758886,Resort Living in Melbourne - Green Room,63279141,Leonhard,,Casey,-38.10670403,145.3035005,Private room,40,1,32,1.52,3,361
20645856,"New house, 1 room Including all utilities.",54473919,Kaz,,Casey,-38.07013163,145.3325668,Private room,40,14,3,0.2,1,159
28216086,"Deluxe Queen Room - 55"" TV Netflix - FAST WIFI",213118783,Brendon,,Casey,-38.10983418,145.2365559,Private room,42,1,6,2.57,1,122
7191025,Charming bedroom for 2,37652327,Max,,Casey,-37.97414684,145.2727422,Private room,42,2,11,0.31,4,310
9124255,Room with 2 single beds.,47535493,Seng Siew,,Casey,-38.01350835,145.3072431,Private room,43,1,42,1.14,1,341
18254658,With private bathroom 350m to train & 25min to CBD,125610375,Wei M,,Darebin,-37.74823395,145.0013655,Private room,12,1,62,3.14,2,79
16338263,Private room in friendly spacious share house,101910006,Ada,,Darebin,-37.73571363,144.9849105,Private room,19,2,2,0.09,1,0
18438418,Sweet home with a sweet little room just for YOU!,127807886,Nerida,,Darebin,-37.72573347,145.0092453,Private room,19,3,0,,1,0
14057864,Bright and large room in Fairfield,48462471,Alberto,,Darebin,-37.76763999,145.0217291,Private room,19,7,0,,1,0
7207612,Sublet in Northcote Sharehouse,37741609,Ned,,Darebin,-37.76568591,145.0079845,Private room,19,12,0,,1,0
4016089,Comfort in convenient location,20823485,John,,Darebin,-37.71107585,145.0049158,Private room,22,1,10,0.25,1,292
7959317,Furnished private room with Wifi access,41697811,Johan-Gauri,,Darebin,-37.71702314,145.020011,Private room,25,1,4,0.11,1,23
19396183,Large Room in Thornbury,22284542,Omar,,Darebin,-37.75537452,145.0039097,Private room,25,1,0,,1,0
13627156,SUBLET Room in Dreamy Preston Bungalow,4209017,Chloe,,Darebin,-37.74899717,144.9873589,Private room,25,20,0,,1,0
16055822,Light filled room in Thornbury with huge backyard,104562296,Caitlin,,Darebin,-37.76373735,145.0185951,Private room,26,3,2,0.08,1,0
10146625,"real bed - nice & big ""deck"" under covered-bayside",48123266,Marilyn,,Frankston,-38.14007472,145.1342895,Private room,24,1,14,0.39,4,364
13873970,frankston CBD @bargain price in the clean house,48123266,Marilyn,,Frankston,-38.14157893,145.1353472,Private room,25,1,15,0.64,4,89
21441042,The secret stay,35811993,Heather,,Frankston,-38.16094905,145.1309976,Shared room,26,1,2,0.15,4,0
21000547,"Quietsville 2: close to beach, shops, bus",15207756,Steve,,Frankston,-38.08878812,145.1296758,Private room,29,1,43,3.08,2,74
10439682,Frankston room,53781361,Lynda,,Frankston,-38.16599656,145.1597096,Private room,30,1,0,,1,0
18916763,"Quietsville, 5 mins walk beach, hotel, bus, shops",15207756,Steve,,Frankston,-38.08925701,145.1281345,Private room,37,1,68,3.7,2,66
9263776,"safe, clean tidy in updated house in frankston cbd",48123266,Marilyn,,Frankston,-38.14056544,145.1360939,Private room,39,1,16,0.44,4,73
21551924,Gateway to Frankston Beach & Mornington Pennisula,156703739,Shirley,,Frankston,-38.12474676,145.1435046,Private room,40,1,1,0.16,1,0
11778972,Quiet property. Close to beach,43898592,Robert,,Frankston,-38.11004126,145.1505938,Private room,44,2,27,0.84,1,338
18477895,Happy house,89646538,Lesley,,Frankston,-38.18342133,145.1373821,Private room,46,1,11,0.62,1,339
20918813,"Convenient, modern apartment",150225273,David,,Glen Eira,-37.9328574,145.0386322,Private room,19,1,7,0.58,1,15
12836094,Huge shareroom in Ripponlea!,69745509,Millie,,Glen Eira,-37.87648378,144.9993756,Shared room,22,7,0,,1,0
16740277,Cheapest and great location (close to everything)!,40366713,Kunal,,Glen Eira,-37.90143696,145.0435257,Private room,25,1,7,0.31,1,155
17571483,Close to station.train and shops,50141295,Anna,,Glen Eira,-37.88959453,145.0137121,Shared room,25,1,4,0.19,1,0
19367651,Cozy orrong house,45403796,Michael,,Glen Eira,-37.86548993,145.010513,Private room,25,2,1,0.06,1,0
3094430,Cosy Room in a house for 3 ,15736128,Christoph,,Glen Eira,-37.89870789,145.0368665,Private room,26,1,0,,1,0
20055355,"Single Ensuite Room at Caulfield East, Melbourne",102279313,Chia,,Glen Eira,-37.88086229,145.0480433,Private room,28,1,1,0.08,1,0
17947139,welcome to our home now!,123142824,Yu,,Glen Eira,-37.92146413,145.0524854,Private room,28,4,8,0.39,1,269
8054339,Homely apartment in Ormond,42538288,Rachel,,Glen Eira,-37.90207821,145.0456887,Private room,30,1,0,,1,0
29341191,Brand new cosy Murrumbeena home-G1,167660004,Julia,,Glen Eira,-37.89815629,145.0700585,Private room,33,1,4,3.16,5,43
11762465,Fabulous single room,20584468,Dorothy,,Greater Dandenong,-37.95135358,145.1780673,Private room,29,3,40,1.21,5,363
11763524,Charming single room,20584468,Dorothy,,Greater Dandenong,-37.95179958,145.1780358,Private room,30,3,54,1.64,5,335
25785222,Temporary Home Away from Home,64729270,Sue,,Greater Dandenong,-37.97136317,145.1583776,Private room,33,1,1,0.17,1,0
18185569,Beautiful home in a safe suburb,72568288,Paul,,Greater Dandenong,-37.96752959,145.183136,Private room,35,2,31,1.59,2,71
19439467,Share house with 3 bed room,136294494,Dtuu,,Greater Dandenong,-37.98300649,145.2043676,Private room,35,60,0,,1,83
14326294,Big room available with Queen Bed,87663648,Allan,,Greater Dandenong,-37.95296128,145.1756812,Private room,37,1,0,,1,340
16785931,New cosy house in Springvale,38113470,Phuong,,Greater Dandenong,-37.94674563,145.1413935,Private room,37,1,5,0.4,1,73
12501251,Private bedroom,67654086,Cris,,Greater Dandenong,-37.94692725,145.1454497,Private room,37,2,14,0.48,1,75
9887196,Cosy Room No.1 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94680381,145.1941488,Private room,39,1,7,0.19,3,354
10239025,Cozy Room No.2 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94700073,145.1940033,Private room,39,1,4,0.12,3,365
10572460,Room in eco-friendly house + garden,51890204,Sam,,Hobsons Bay,-37.87634608,144.7705079,Private room,26,3,2,0.06,1,0
19951999,A Spacious Living Area in the West,14710097,Zara,,Hobsons Bay,-37.86704557,144.785214,Private room,28,1,4,0.28,1,0
18281112,Relaxed Laverton Home- R1,31698924,Mani,,Hobsons Bay,-37.86791723,144.7699018,Private room,35,1,9,0.69,5,54
11190489,Cottage by the sea,117431,Lorraine,,Hobsons Bay,-37.86999454,144.8116724,Private room,35,2,156,4.56,2,277
15244698,Neat and Full furnished room,96935364,Bob,,Hobsons Bay,-37.87811916,144.7727169,Private room,35,2,1,0.04,1,0
7668668,Homestay for a single student or traveller,292579,Gyorgyi,,Hobsons Bay,-37.86412143,144.7783702,Private room,35,7,0,,1,342
21132385,"Close Melbourne CBD, Williamstown Beach& Footscray",149011301,Tracy,,Hobsons Bay,-37.83743528,144.8796449,Private room,37,2,28,1.93,3,0
21132908,"Close Melbourne CBD, Footscray &Williamstown Beach",149011301,Tracy,,Hobsons Bay,-37.83610864,144.8792892,Private room,37,2,25,1.76,3,0
6005594,"Private bathroom seaside, location!",20243309,Vivian,,Hobsons Bay,-37.86645676,144.8176166,Private room,40,1,64,1.54,2,309
7749607,"Melbourne, beach, city, 4min to train station.",3336544,Myra,,Hobsons Bay,-37.84511571,144.8868286,Private room,40,1,76,1.9,1,139
17123439,BNB (CLOSE TO MELB. AIRPORT & M31),107192169,Xiaolin,,Hume,-37.57911901,144.9041487,Private room,22,1,7,0.32,5,90
12479314,Near airport. Single or double room.,23005557,Mandy,,Hume,-37.58717616,144.9160041,Private room,25,1,39,1.22,1,85
21505866,"Close airport, rail station, city centre free wifi",54027231,Yogs,,Hume,-37.6907534,144.9179737,Private room,25,2,6,0.54,6,365
19834618,Not available,140191237,Jon,,Hume,-37.6912601,144.9184045,Private room,25,60,0,,1,364
15200419,Available tonight great room near airport,20824451,Kay,,Hume,-37.60328642,144.9143333,Private room,29,1,22,0.82,8,174
15221821,Available tonight great room near airport,20824451,Kay,,Hume,-37.60216788,144.9138638,Private room,29,1,4,0.18,8,174
18529253,Near Airport FREE WIFI (QB),117478367,Jane,,Hume,-37.57332164,144.9313733,Private room,30,1,89,5.21,2,141
19684009,Near Airport FREE WIFI (DB),117478367,Jane,,Hume,-37.57477443,144.9329058,Private room,30,1,75,4.45,2,126
17123649,7-DAY BNB & FREE MELB. Aâ€™PORT DROP-OFF SERVICE (N),107192169,Xiaolin,,Hume,-37.5798609,144.9026633,Private room,33,7,0,,5,90
6296679,Outer Metro Melbourne,32741289,Rob,,Hume,-37.60631996,144.9263025,Private room,35,3,58,1.34,2,38
300679,Comfy room in Oakleigh South Melbourne,1505279,Julie,,Kingston,-37.94000426,145.0967893,Private room,28,2,51,0.64,1,286
16444961,Quiet House in Chelsea near beach,17230524,Rachael,,Kingston,-38.04422687,145.1283584,Private room,30,2,26,1.2,1,0
18525219,Cozy private room in oakleigh south,128599162,Jessie,,Kingston,-37.93932038,145.0868399,Private room,30,3,12,0.63,3,78
20194806,Comfy private bedroom with all setup essentials,128599162,Jessie,,Kingston,-37.93776712,145.0875976,Private room,33,3,12,0.96,3,69
9695824,Hot weather! Refreshing room $35,49980720,Victory,,Kingston,-37.94117244,145.0424033,Private room,35,1,2,0.05,2,0
9681648,Hot weather! refreshing room fr $38,49980720,Victory,,Kingston,-37.94145344,145.0439705,Private room,37,1,0,,2,357
11053838,Spacious beach-side bedroom,57368972,Charlotte,,Kingston,-38.0426545,145.1092383,Private room,40,1,0,,1,0
15608852,Cosy Home Close to Monash Uni and transport.,100631961,Jyoti,,Kingston,-37.93077243,145.1363908,Private room,40,1,2,0.1,1,358
21158137,Melbourne Clayton House Room 2,64028621,Caimo,,Kingston,-37.93341972,145.1283206,Private room,40,3,0,,4,69
21429992,Cozy room minutes to the beach and station,155340232,Max,,Kingston,-38.07292685,145.1325034,Private room,40,3,7,0.53,6,352
18173092,Rowville,125356040,John,,Knox,-37.91584214,145.2340347,Shared room,15,1,0,,1,0
26338669,The Lakes eco bed and breakfast- king single,74033879,Jacqui,,Knox,-37.91479475,145.2452191,Private room,25,3,13,2.57,2,160
14411623,Private comfy place to rest in.,88379970,Darren,,Knox,-37.8502887,145.2730519,Private room,26,1,35,1.29,1,153
23775854,Melbourne Anny mom house,178378815,Yongjun,,Knox,-37.92899929,145.2437603,Private room,28,1,7,1.51,1,344
25784272,Rm Paris-Warm Queen bed room with table,20871870,Chenhui,,Knox,-37.85577776,145.2392583,Private room,36,2,27,5.03,11,356
19295127,Complete privacy great location,131389743,Zoey,,Knox,-37.85741084,145.2281506,Entire home/apt,37,2,14,0.79,1,288
21035543,Cozy private room,42784943,Harkirat,,Knox,-37.84242403,145.2291958,Private room,40,1000,1,0.07,1,365
2400926,"Comfortable, homely and clean",12269676,Larisa,,Knox,-37.8476194,145.2692233,Private room,42,2,16,0.42,1,166
13771503,eastern melbourne,80816333,Sean,,Knox,-37.86245264,145.2566743,Private room,44,1,0,,1,365
911167,Relaxing room on the Eastern side,4889343,Zoltan And Beata,,Knox,-37.93379106,145.2413983,Private room,47,1,84,1.21,1,76
19848553,Private Room in family home in leafy surroundings.,140335502,Lisa,,Manningham,-37.76847015,145.1446491,Private room,25,1,47,2.82,1,140
18026070,Brand new private room - Doncaster,123979832,Rakshith,,Manningham,-37.7879641,145.13056,Private room,35,1,26,1.3,1,70
8852884,Single room Melbourne,46031452,Lily,,Manningham,-37.78451791,145.1336169,Private room,39,1,25,0.66,2,321
13250884,A Home Away From Home,74525441,Karalee & Vince,,Manningham,-37.77432779,145.1536882,Private room,39,1,6,0.2,2,340
13580357,A Home Away From Home (2),74525441,Karalee & Vince,,Manningham,-37.77451666,145.1517277,Private room,39,1,4,0.19,2,340
14545177,Home away from Home,37531702,Gabriel,,Manningham,-37.79443639,145.1638161,Private room,40,1,15,0.54,2,1
14850974,"Stylish, Modern, New Private Bedroom",37531702,Gabriel,,Manningham,-37.79607449,145.1637177,Private room,40,1,9,0.43,2,24
17012687,Melbourne and more!,23727839,Aadhil,,Manningham,-37.75601285,145.1656876,Private room,40,1,14,0.65,1,88
